GeneID	Symbol	Name	Disease	Phenotype	Function
27113	BBC3	.	0	1	1
92482	BBIP1	.	1	0	1
80127	BBOF1	.	0	1	1
582	BBS1	.	0	1	1
79738	BBS10	.	0	1	1
166379	BBS12	.	0	1	1
583	BBS2	.	0	1	1
129880	BBS5	.	0	1	1
55212	BBS7	.	0	0	1
56987	BBX	.	0	0	1
4059	BCAM	.	0	0	1
63827	BCAN	.	0	0	1
10134	BCAP31	.	1	0	1
8412	BCAR3	.	0	0	1
8537	BCAS1	.	0	0	1
586	BCAT1	.	0	0	1
56647	BCCIP	.	0	0	1
144233	BCDIN3D	.	0	0	1
593	BCKDHA	.	0	0	1
594	BCKDHB	.	0	0	1
8915	BCL10	.	1	0	1
53335	BCL11A	.	1	0	1
596	BCL2	.	1	0	1
597	BCL2A1	.	0	0	1
598	BCL2L1	.	0	0	1
10018	BCL2L11	.	0	0	1
83596	BCL2L12	.	0	0	1
440603	BCL2L15	.	0	0	1
599	BCL2L2	.	0	0	1
602	BCL3	.	0	0	1
604	BCL6	.	0	0	1
605	BCL7A	.	0	0	1
9774	BCLAF1	.	0	0	1
63035	BCORL1	.	0	0	1
613	BCR	.	0	1	1
617	BCS1L	.	0	0	1
56898	BDH2	.	0	0	1
389416	BDH2P1	.	1	0	1
627	BDNF	.	0	0	1
8678	BECN1	.	0	0	1
389206	BEND4	.	0	0	1
79656	BEND5	.	0	0	1
221336	BEND6	.	1	1	1
7439	BEST1	.	0	0	1
144453	BEST3	.	0	0	1
10282	BET1	.	0	0	1
51272	BET1L	.	0	0	1
55859	BEX1	.	0	0	1
84707	BEX2	.	1	0	1
632	BGLAP	.	0	0	1
633	BGN	.	0	0	1
27319	BHLHE22	.	0	0	1
8553	BHLHE40	.	0	0	1
80114	BICC1	.	0	0	1
636	BICD1	.	0	0	1
23299	BICD2	.	0	0	1
29998	BICRA	.	0	0	1
637	BID	.	0	0	1
274	BIN1	.	0	0	1
